size,mmult,mmultO3,mmult_simd,mmult_simdO3 
100,0.009582,0.001911,0.007768,0.000923
101,0.007390,0.001603,0.007163,0.000879
102,0.007047,0.001535,0.006805,0.000759
103,0.006702,0.001445,0.006756,0.000831
104,0.006826,0.001484,0.006897,0.000773
105,0.007860,0.001663,0.007275,0.000870
106,0.007439,0.001592,0.007525,0.000841
107,0.007631,0.001638,0.007527,0.000868
108,0.008114,0.001699,0.007799,0.000858
109,0.007947,0.001716,0.007980,0.001001
110,0.008212,0.001840,0.008203,0.001069
111,0.008446,0.001920,0.008481,0.001022
112,0.008950,0.001867,0.008774,0.001079
113,0.008840,0.002003,0.008956,0.001124
114,0.009080,0.002069,0.009146,0.001144
115,0.009292,0.002071,0.009388,0.001177
116,0.009521,0.002136,0.009631,0.001183
117,0.009828,0.002148,0.009890,0.001272
118,0.010070,0.002207,0.010158,0.001234
119,0.010342,0.002330,0.010362,0.001335
120,0.010467,0.002258,0.010627,0.001292
121,0.010871,0.002412,0.010917,0.001384
122,0.011154,0.002372,0.011111,0.001285
123,0.011416,0.002420,0.011537,0.001451
124,0.011640,0.002524,0.011782,0.001374
125,0.011944,0.002522,0.012075,0.001478
126,0.012343,0.002620,0.012373,0.001416
127,0.012591,0.002707,0.012706,0.001558
128,0.013683,0.003012,0.012947,0.001528
129,0.013202,0.002856,0.013339,0.001658
130,0.013502,0.003051,0.013661,0.001644
131,0.013951,0.002949,0.014009,0.001697
132,0.014042,0.003229,0.014143,0.001727
133,0.014441,0.003042,0.014607,0.001750
134,0.014797,0.003324,0.014926,0.001708
135,0.015159,0.003233,0.015329,0.001905
136,0.015375,0.003442,0.015695,0.001806
137,0.016061,0.003479,0.015893,0.001891
138,0.016272,0.003685,0.016336,0.001879
139,0.016567,0.003505,0.016645,0.001981
140,0.016694,0.003852,0.016931,0.001962
141,0.017199,0.003670,0.017260,0.002089
142,0.018041,0.004025,0.017797,0.002142
143,0.018238,0.004141,0.018210,0.002156
144,0.018890,0.004174,0.018441,0.002131
145,0.019919,0.004513,0.018884,0.002326
146,0.020042,0.004704,0.019226,0.002250
147,0.020727,0.004702,0.019595,0.002390
148,0.020435,0.004626,0.020017,0.002297
149,0.021567,0.004889,0.020467,0.002509
150,0.021498,0.004933,0.020808,0.002447
151,0.022353,0.005068,0.021211,0.002571
152,0.022031,0.004969,0.021678,0.002549
153,0.023058,0.005383,0.022138,0.002689
154,0.024097,0.005451,0.025550,0.002980
155,0.024567,0.005467,0.022955,0.002801
156,0.024220,0.005498,0.023418,0.002759
157,0.025002,0.005615,0.023907,0.002909
158,0.025481,0.005676,0.024550,0.002803
159,0.026094,0.005918,0.024640,0.003004
160,0.027124,0.006454,0.025311,0.002931
161,0.027219,0.006361,0.025699,0.003101
162,0.028115,0.006296,0.026228,0.003066
163,0.028219,0.006557,0.026624,0.003210
164,0.028344,0.006572,0.027104,0.003151
165,0.029541,0.006512,0.027664,0.003337
166,0.029260,0.006573,0.028221,0.003259
167,0.030542,0.006805,0.028658,0.003471
168,0.029970,0.006693,0.029175,0.003400
169,0.031354,0.007197,0.029571,0.003576
170,0.032623,0.007281,0.035686,0.005051
171,0.043447,0.009257,0.039788,0.006678
172,0.039861,0.007974,0.031593,0.003650
173,0.034650,0.007861,0.031976,0.003904
174,0.035106,0.007968,0.032309,0.003914
175,0.035889,0.008242,0.032945,0.003984
176,0.037063,0.008574,0.033412,0.003907
177,0.038064,0.008759,0.033970,0.004168
178,0.038034,0.008531,0.034787,0.004012
179,0.038704,0.008941,0.035083,0.004550
180,0.037923,0.009004,0.035954,0.004287
181,0.042769,0.010384,0.036536,0.004610
182,0.042698,0.009800,0.037075,0.004463
183,0.042095,0.009786,0.037908,0.004576
184,0.040790,0.009822,0.038524,0.004672
185,0.046513,0.011166,0.038907,0.004824
186,0.045748,0.010323,0.039498,0.004786
187,0.047332,0.013637,0.058209,0.005660
188,0.046769,0.010375,0.041012,0.004714
189,0.048383,0.011690,0.041292,0.005054
190,0.073679,0.013646,0.044314,0.005049
191,0.050621,0.012511,0.045511,0.005395
192,0.051158,0.014486,0.043554,0.006057
193,0.070575,0.014184,0.044267,0.005366
194,0.053128,0.012119,0.044710,0.005196
195,0.056606,0.013305,0.045805,0.005675
196,0.054465,0.011975,0.046208,0.005453
197,0.056745,0.014860,0.046797,0.005656
198,0.058397,0.013106,0.047262,0.005497
199,0.058512,0.014509,0.048324,0.005868
200,0.054380,0.012695,0.049107,0.005672
201,0.061033,0.014886,0.050545,0.006277
202,0.062461,0.013703,0.050768,0.005981
203,0.063520,0.015410,0.051322,0.006238
204,0.060674,0.013735,0.052104,0.006058
205,0.069899,0.017146,0.052817,0.006551
206,0.067592,0.014815,0.054158,0.006267
207,0.072526,0.016723,0.054533,0.006739
208,0.064877,0.015085,0.054990,0.006372
209,0.070495,0.017075,0.055902,0.006805
210,0.071718,0.015893,0.057094,0.006686
